# index,critical_temp
0,0
1,71
2,23
3,4
4,20
5,54
6,18
7,14
8,91
9,4
10,38
11,7
12,35
13,28
14,24
15,14
16,5
17,37
18,87
19,29
20,18
21,9
22,78
23,79
24,18
25,60
26,3
27,20
28,32
29,106
30,24
31,27
32,4
33,13
34,4
35,56
36,16
37,61
38,38
39,78
40,38
41,46
42,54
43,0
44,4
45,74
46,33
47,81
48,92
49,22
50,40
51,5
52,1
53,37
54,65
55,3
56,126
57,2
58,13
59,93
60,75
61,87
62,21
63,19
64,41
65,42
66,43
67,8
68,1
69,5
70,13
71,32
72,7
73,3
74,22
75,1
76,5
77,12
78,16
79,48
80,79
81,2
82,5
83,28
84,5
85,42
86,9
87,17
88,15
89,9
90,14
91,7
92,5
93,3
94,83
95,0
96,28
97,0
98,51
99,84
100,87
101,63
102,94
103,11
104,127
105,66
106,51
107,2
108,6
109,16
110,2
111,1
112,9
113,7
114,77
115,2
116,60
117,21
118,3
119,83
120,77
121,2
122,13
123,30
124,80
125,66
126,77
127,91
128,22
129,68
130,29
131,43
132,2
133,39
134,4
135,17
136,26
137,26
138,4
139,5
140,84
141,90
142,75
143,1
144,62
145,4
146,2
147,34
148,29
149,1
150,61
151,33
152,90
153,26
154,3
155,46
156,9
157,31
158,86
159,25
160,6
161,30
162,98
163,116
164,3
165,51
166,88
167,123
168,26
169,71
170,15
171,78
172,35
173,65
174,29
175,70
176,12
177,4
178,90
179,2
180,24
181,15
182,25
183,29
184,4
185,62
186,2
187,5
188,1
189,5
190,66
191,8
192,79
193,76
194,19
195,3
196,19
197,5
198,2
199,84
200,88
201,93
202,6
203,4
204,86
205,79
206,29
207,4
208,67
209,5
210,38
211,6
212,68
213,126
214,5
215,81
216,6
217,31
218,12
219,41
220,27
221,5
222,7
223,12
224,10
225,14
226,1
227,1
228,40
229,6
230,1
231,92
232,19
233,16
234,4
235,33
236,82
237,22
238,18
239,35
240,56
241,36
242,108
243,65
244,17
245,3
246,1
247,83
248,1
249,0
250,2
251,5
252,8
253,1
254,4
255,82
256,34
257,52
258,102
259,2
260,3
261,69
262,23
263,77
264,25
265,34
266,105
267,8
268,53
269,66
270,5
271,2
272,8
273,74
274,57
275,5
276,1
277,67
278,4
279,36
280,7
281,18
282,1
283,4
284,93
285,36
286,60
287,27
288,1
289,91
290,52
291,11
292,34
293,91
294,75
295,1
296,54
297,62
298,2
299,33
300,26
301,86
302,132
303,29
304,8
305,3
306,41
307,21
308,75
309,55
310,5
311,61
312,35
313,1
314,37
315,22
316,129
317,2
318,10
319,29
320,33
321,23
322,64
323,22
324,11
325,17
326,1
327,13
328,24
329,3
330,8
331,15
332,59
333,28
334,13
335,39
336,0
337,1
338,44
339,76
340,93
341,16
342,6
343,73
344,83
345,93
346,1
347,15
348,6
349,9
350,31
351,91
352,36
353,6
354,15
355,3
356,2
357,14
358,0
359,5
360,32
361,25
362,9
363,22
364,7
365,5
366,38
367,9
368,2
369,3
370,1
371,12
372,75
373,25
374,106
375,16
376,29
377,47
378,130
379,2
380,9
381,38
382,2
383,10
384,60
385,58
386,74
387,50
388,41
389,77
390,28
391,81
392,79
393,23
394,9
395,3
396,4
397,21
398,16
399,12
400,80
401,7
402,54
403,5
404,19
405,5
406,10
407,33
408,9
409,111
410,10
411,19
412,32
413,76
414,76
415,6
416,1
417,6
418,3
419,11
420,18
421,11
422,18
423,2
424,8
425,5
426,3
427,30
428,1
429,6
430,3
431,46
432,2
433,61
434,2
435,13
436,5
437,9
438,1
439,66
440,113
441,2
442,0
443,8
444,82
445,10
446,4
447,8
448,8
449,36
450,0
451,5
452,8
453,11
454,3
455,72
456,20
457,15
458,4
459,2
460,70
461,28
462,41
463,81
464,68
465,78
466,69
467,9
468,4
469,6
470,57
471,62
472,5
473,14
474,57
475,24
476,43
477,5
478,37
479,0
480,52
481,0
482,41
483,58
484,114
485,30
486,23
487,84
488,25
489,1
490,3
491,10
492,3
493,85
494,29
495,6
496,88
497,5
498,15
499,64
500,2
501,6
502,18
503,94
504,27
505,2
506,21
507,9
508,42
509,8
510,8
511,27
512,3
513,33
514,27
515,31
516,1
517,34
518,31
519,8
520,2
521,8
522,108
523,77
524,2
525,12
526,104
527,2
528,1
529,37
530,5
531,6
532,30
533,5
534,70
535,100
536,19
537,0
538,79
539,4
540,31
541,70
542,101
543,3
544,72
545,78
546,4
547,8
548,66
549,46
550,79
551,48
552,7
553,81
554,81
555,4
556,43
557,8
558,14
559,3
560,4
561,35
562,103
563,134
564,8
565,80
566,27
567,6
568,1
569,15
570,74
571,14
572,59
573,41
574,31
575,31
576,34
577,11
578,0
579,0
580,4
581,95
582,39
583,17
584,1
585,5
586,31
587,87
588,77
589,64
590,13
591,55
592,1
593,3
594,35
595,6
596,27
597,11
598,113
599,36
600,11
601,37
602,8
603,2
604,27
605,4
606,2
607,83
608,79
609,4
610,19
611,13
612,9
613,7
614,10
615,15
616,88
617,38
618,7
619,39
620,7
621,90
622,12
623,6
624,2
625,5
626,1
627,29
628,17
629,16
630,77
631,22
632,27
633,31
634,4
635,37
636,16
637,64
638,52
639,3
640,106
641,43
642,34
643,10
644,33
645,7
646,32
647,64
648,82
649,81
650,7
651,124
652,8
653,5
654,56
655,49
656,22
657,3
658,1
659,65
660,5
661,5
662,28
663,27
664,5
665,11
666,13
667,4
668,4
669,55
670,0
671,59
672,70
673,19
674,111
675,8
676,18
677,7
678,23
679,2
680,13
681,16
682,89
683,91
684,124
685,31
686,53
687,19
688,25
689,63
690,9
691,4
692,83
693,92
694,2
695,93
696,37
697,41
698,62
699,4
700,31
701,49
702,75
703,1
704,78
705,78
706,104
707,36
708,29
709,73
710,12
711,14
712,8
713,6
714,1
715,2
716,4
717,2
718,31
719,22
720,9
721,51
722,9
723,29
724,1
725,89
726,18
727,80
728,44
729,46
730,4
731,121
732,118
733,4
734,66
735,16
736,6
737,28
738,101
739,0
740,46
741,22
742,8
743,8
744,19
745,1
746,107
747,3
748,29
749,29
750,77
751,9
752,125
753,2
754,3
755,47
756,64
757,0
758,64
759,14
760,26
761,37
762,19
763,2
764,90
765,0
766,5
767,111
768,129
769,3
770,104
771,30
772,4
773,9
774,79
775,7
776,4
777,37
778,27
779,13
780,83
781,50
782,2
783,6
784,14
785,27
786,17
787,34
788,79
789,40
790,2
791,68
792,77
793,18
794,90
795,12
796,1
797,47
798,28
799,41
800,2
801,2
802,8
803,1
804,73
805,89
806,76
807,121
808,26
809,4
810,12
811,38
812,71
813,2
814,3
815,47
816,70
817,22
818,7
819,3
820,20
821,25
822,15
823,62
824,9
825,67
826,80
827,10
828,4
829,88
830,71
831,88
832,7
833,75
834,1
835,77
836,4
837,9
838,99
839,12
840,47
841,63
842,81
843,38
844,78
845,19
846,2
847,60
848,25
849,3
850,21
851,32
852,13
853,3
854,3
855,6
856,57
857,28
858,0
859,5
860,63
861,1
862,5
863,85
864,61
865,98
866,94
867,3
868,21
869,2
870,7
871,36
872,11
873,108
874,2
875,16
876,4
877,5
878,14
879,23
880,32
881,5
882,82
883,3
884,86
885,65
886,75
887,52
888,57
889,92
890,77
891,6
892,64
893,43
894,4
895,82
896,66
897,20
898,91
899,61
900,11
901,55
902,80
903,13
904,24
905,4
906,32
907,28
908,0
909,2
910,103
911,3
912,12
913,34
914,72
915,33
916,86
917,19
918,85
919,6
920,3
921,11
922,3
923,27
924,15
925,69
926,41
927,41
928,71
929,6
930,7
931,26
932,1
933,11
934,25
935,22
936,16
937,62
938,116
939,40
940,8
941,6
942,35
943,15
944,27
945,35
946,6
947,13
948,33
949,27
950,2
951,44
952,71
953,26
954,4
955,3
956,4
957,0
958,47
959,8
960,2
961,76
962,12
963,59
964,78
965,3
966,75
967,69
968,58
969,7
970,57
971,82
972,5
973,2
974,123
975,27
976,14
