index,critical_temp
0,3
1,16
2,39
3,48
4,2
5,66
6,27
7,2
8,126
9,3
10,74
11,1
12,0
13,12
14,87
15,1
16,33
17,85
18,31
19,2
20,12
21,47
22,20
23,3
24,6
25,69
26,5
27,42
28,2
29,76
30,90
31,7
32,24
33,31
34,72
35,91
36,0
37,79
38,38
39,0
40,16
41,19
42,14
43,89
44,60
45,20
46,78
47,6
48,44
49,73
50,87
51,16
52,2
53,88
54,39
55,92
56,75
57,95
58,67
59,86
60,80
61,69
62,43
63,27
64,15
65,75
66,13
67,0
68,27
69,17
70,18
71,2
72,33
73,4
74,60
75,5
76,8
77,10
78,8
79,2
80,35
81,6
82,61
83,19
84,92
85,9
86,24
87,4
88,72
89,29
90,41
91,13
92,89
93,84
94,85
95,76
96,21
97,0
98,69
99,4
100,35
101,3
102,7
103,73
104,81
105,79
106,5
107,6
108,68
109,13
110,2
111,7
112,67
113,121
114,1
115,77
116,49
117,85
118,8
119,31
120,120
121,14
122,57
123,106
124,31
125,4
126,57
127,5
128,3
129,69
130,5
131,52
132,23
133,117
134,34
135,88
136,2
137,81
138,1
139,2
140,3
141,3
142,24
143,27
144,8
145,18
146,2
147,21
148,2
149,6
150,15
151,2
152,89
153,21
154,73
155,22
156,30
157,36
158,5
159,52
160,61
161,17
162,50
163,26
164,71
165,20
166,42
167,63
168,6
169,5
170,4
171,5
172,3
173,25
174,73
175,3
176,5
177,22
178,1
179,10
180,38
181,13
182,34
183,6
184,26
185,5
186,85
187,86
188,0
189,3
190,7
191,4
192,13
193,3
194,2
195,28
196,14
197,52
198,27
199,81
200,27
201,61
202,30
203,62
204,58
205,64
206,13
207,71
208,23
209,9
210,80
211,3
212,6
213,53
214,86
215,4
216,44
217,72
218,43
219,2
220,10
221,4
222,7
223,13
224,30
225,4
226,14
227,16
228,12
229,3
230,12
231,63
232,3
233,7
234,54
235,36
236,4
237,94
238,83
239,10
240,26
241,13
242,50
243,87
244,40
245,77
246,17
247,78
248,107
249,3
250,19
251,91
252,63
253,1
254,5
255,0
256,4
257,23
258,3
259,83
260,106
261,68
262,9
263,34
264,21
265,33
266,122
267,104
268,1
269,0
270,95
271,48
272,25
273,85
274,9
275,58
276,22
277,77
278,76
279,11
280,56
281,7
282,106
283,53
284,54
285,6
286,10
287,32
288,27
289,9
290,4
291,6
292,3
293,12
294,14
295,63
296,8
297,10
298,39
299,31
300,21
301,7
302,32
303,11
304,1
305,5
306,1
307,2
308,4
309,9
310,70
311,0
312,37
313,41
314,2
315,13
316,2
317,7
318,6
319,3
320,41
321,2
322,67
323,8
324,75
325,20
326,2
327,74
328,33
329,45
330,1
331,43
332,63
333,26
334,3
335,26
336,4
337,22
338,1
339,73
340,3
341,68
342,83
343,64
344,20
345,115
346,81
347,19
348,84
349,5
350,9
351,74
352,29
353,16
354,9
355,93
356,8
357,2
358,5
359,88
360,22
361,17
362,22
363,0
364,1
365,89
366,52
367,63
368,2
369,14
370,46
371,78
372,21
373,80
374,21
375,2
376,2
377,87
378,100
379,76
380,27
381,1
382,81
383,8
384,2
385,4
386,77
387,0
388,4
389,5
390,129
391,37
392,24
393,1
394,21
395,5
396,31
397,37
398,17
399,2
400,104
401,19
402,2
403,69
404,86
405,4
406,30
407,82
408,49
409,10
410,8
411,82
412,5
413,32
414,48
415,2
416,6
417,4
418,15
419,3
420,81
421,10
422,53
423,46
424,77
425,27
426,88
427,52
428,1
429,25
430,26
431,45
432,83
433,17
434,5
435,1
436,23
437,0
438,19
439,89
440,24
441,8
442,88
443,13
444,44
445,9
446,25
447,39
448,2
449,80
450,40
451,5
452,86
453,9
454,8
455,110
456,30
457,1
458,26
459,10
460,70
461,49
462,122
463,33
464,11
465,79
466,78
467,64
468,62
469,30
470,105
471,2
472,56
473,1
474,40
475,22
476,27
477,21
478,23
479,4
480,87
481,1
482,61
483,22
484,23
485,83
486,18
487,95
488,36
489,21
490,39
491,12
492,91
493,73
494,83
495,21
496,10
497,21
498,3
499,76
500,87
501,79
502,31
503,27
504,83
505,20
506,91
507,125
508,49
509,39
510,8
511,2
512,5
513,2
514,75
515,19
516,8
517,71
518,7
519,0
520,63
521,36
522,62
523,4
524,3
525,1
526,4
527,44
528,84
529,50
530,4
531,24
532,24
533,35
534,89
535,14
536,7
537,71
538,71
539,12
540,12
541,121
542,50
543,11
544,6
545,78
546,64
547,66
548,16
549,38
550,49
551,46
552,1
553,3
554,29
555,44
556,24
557,15
558,45
559,10
560,27
561,0
562,7
563,2
564,38
565,29
566,3
567,14
568,20
569,28
570,7
571,42
572,43
573,25
574,5
575,11
576,1
577,51
578,79
579,2
580,21
581,88
582,129
583,90
584,9
585,72
586,15
587,3
588,0
589,7
590,31
591,82
592,11
593,26
594,48
595,23
596,3
597,110
598,32
599,85
600,2
601,29
602,102
603,3
604,4
605,83
606,49
607,75
608,21
609,8
610,85
611,42
612,89
613,6
614,5
615,3
616,41
617,3
618,22
619,85
620,25
621,12
622,50
623,89
624,4
625,111
626,31
627,16
628,55
629,10
630,21
631,16
632,27
633,54
634,6
635,5
636,81
637,29
638,20
639,20
640,0
641,65
642,7
643,28
644,83
645,9
646,86
647,70
648,8
649,82
650,75
651,76
652,38
653,4
654,46
655,87
656,11
657,4
658,75
659,2
660,5
661,2
662,87
663,4
664,3
665,2
666,78
667,8
668,5
669,4
670,77
671,20
672,4
673,9
674,6
675,2
676,92
677,39
678,58
679,35
680,3
681,17
682,63
683,81
684,79
685,2
686,35
687,2
688,56
689,35
690,1
691,1
692,8
693,28
694,15
695,1
696,0
697,8
698,6
699,55
700,4
701,3
702,67
703,84
704,111
705,21
706,32
707,21
708,87
709,12
710,3
711,2
712,5
713,84
714,5
715,78
716,1
717,33
718,76
719,87
720,106
721,82
722,82
